Name,Website,Featured,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Aid AI,https://aid.sa/,,Pre-Seed,Technology ,AI & Machine Learning,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
ChawR Platform,TryChawR.com,,Seed,"Legal,HR & Recruitments,Consulting","AI & Machine Learning,HR & Recruitment ,SaaS",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
ADresApp,https://www.instagram.com/adresapp/,,Seed,"Technology ,Social,Consumer Service ","SaaS,Social Media,Marketplace",Jazan,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,0.0,Yes,2.00M,Medium,
Wave wave,https://wave6wave.com/#,,Seed,"Travel & Tourism,Technology ","E-Commerce,Subscription,Hospitality",Makkah,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,
Balluru,https://ballurh.io/en/,,Seed,"Food & Beverages ,HORECA,Retail","AI & Machine Learning,SaaS,Advertisement",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
iroom,iroom.ai,,Pre-Seed,Travel & Tourism,Cloud Solution ,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,
Lamha | لمحة,www.getlamha.com,,Seed,Financial Services,Financial Solution,Makkah,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2021
Swarm robotics,Swarmrobotics.io,,Seed,"Robotics ,Technology ,Hardware","Autonomous Driving ,Hardware & loT & Drones,Manufacturing ,Robotics ,X-as-a-service model ",Riyadh,Saudi Arabia,5,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2023
welcome app,welcome.sa,,Seed,"Transportation & Automotive,Logistics ","Last Mile Delivery,Transport & Micro Mobility,ClimateTech",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Go Steer,https://gosteer.sa/,,Seed,"Technology ,Transportation & Automotive,Travel & Tourism","Car Solution ,Marketplace,Aggregator,SaaS",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
SIDEUP,www.sideup.co,,Pre-Series A,Logistics ,SaaS,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2009
Slangit Technologies,www.slangit.ai,,Pre-Seed,"Education,Technology ,Real Estate,Healthcare,Travel & Tourism,Communication,Consumer Service ,HR & Recruitments,Legal,Insurance ,Manufacturing ,Oil, Gas, and Energy,Professional Service ,Telecommunication,Construction,Retail","AI & Machine Learning,X-as-a-service model ,E-Learning,SaaS",Riyadh,Saudi Arabia,4,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Patlah Shop,https://patrah.com/,,Seed,"Fashion,Personal Care & Beauty ,Healthcare","Drop-Shipping ,E-Commerce",Makkah,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2018
AQUIVIO Arabia LLC,https://www.aquivio.com,,Seed,Technology ,"SmartCity/Home,ClimateTech,Hardware & loT & Drones,Hospitality",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Sawa Ride,www.sawaride.app,,Pre-Seed,Transportation & Automotive,Marketplace,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Trivers,www.trivers.me,,Seed,"Technology ,HR & Recruitments","HR & Recruitment ,SaaS",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
AILA,aila.sa,,Seed,Education,"AI & Machine Learning,SaaS",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
TripVlog ltd,www.tripvlog.com,,Pre-Seed,Travel & Tourism,"AI & Machine Learning,Affiliate Marketing,ClimateTech,E-Commerce,Hospitality",Riyadh,Saudi Arabia,5,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2019
Snbla,https://snbla.com,,Pre-Seed,Financial Services,Financial Solution,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2023
FataFeat Pay,https://fata.me/,,Pre-Seed,"Financial Services,Technology ","Financial Solution,SaaS",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Qubit,https://www.qubit.sa,,Pre-Seed,"Technology ,Retail","AI & Machine Learning,E-Commerce,X-as-a-service model ",Riyadh,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2021
Mithu,https://mithu.com,,Pre-Seed,"Financial Services,Food & Beverages ,Retail","AI & Machine Learning,Loyalty ,Cashback,Marketplace,Social Commerce ,Hospitality",Riyadh,Saudi Arabia,6,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Film There,Www.filmthere.com,,Seed,Media Production,Marketplace,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
عطور دير بيوتي,https://perfumedeer.com,,Seed,Fashion,E-Commerce,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
Spltrr,https://www.spltrr.com,,Pre-Seed,"Financial Services,Technology ",Financial Solution,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2023
netzero,netzero.sa,,Seed,"Technology ,Environment","AI & Machine Learning,APP Dev & PaaS,ClimateTech",Eastern,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,4.97,Yes,2.00M,Medium,2019
MoneyLoop | موني لوب,www.moneyloop.sa,,Pre-Series A,Financial Services,Financial Solution,Riyadh,Saudi Arabia,1,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2019
GuestNa App,www.guestna.app,,Pre-Seed,"Technology ,Travel & Tourism","Marketplace,Aggregator",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,
Qalam,https://qalamapp.com/,,Seed,Social,Social Media,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,No,2.00M,Medium,
Jisr.care,https://jisr.appstick.com.bd/,,Seed,"Healthcare,Technology ","IT Solutions Services,Telehealth ,APP Dev & PaaS,Social Commerce ",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,
